Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.865,0.8695652173913043,0.8421052631578947,0.8556149732620322
KNN,0.79,0.8117647058823529,0.7263157894736842,0.7666666666666667
Linear SVM,0.84,0.8620689655172413,0.7894736842105263,0.8241758241758242
Kernel Perceptron (POLY),0.855,0.9125,0.7684210526315789,0.8342857142857143
XGBoost,0.94,0.946236559139785,0.9263157894736842,0.9361702127659575
